id,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
11,Airport West,2/252 Parer Rd,2,t,450000,S,Barry,7/5/16,13.5,3042,2,1,1,110,90,2015,Moonee Valley,-37.7216,144.871,Western Metropolitan,3464
12,Airport West,13 Etzel St,3,h,805000,S,Nelson,10/12/16,13.5,3042,3,1,1,0,105,1950,Moonee Valley,-37.7217,144.8783,Western Metropolitan,3464
13,Airport West,2/40 Earl St,3,t,700000,PI,Brad,15/10/16,13.5,3042,3,2,2,165,133,2009,Moonee Valley,-37.727,144.887,Western Metropolitan,3464
14,Airport West,180 Parer Rd,3,h,830000,S,Barry,16/4/16,13.5,3042,3,1,2,971,113,1960,Moonee Valley,-37.7186,144.876,Western Metropolitan,3464
15,Airport West,4/54 Hawker St,2,u,462500,S,Barry,16/7/16,13.5,3042,2,1,1,164,,2003,Moonee Valley,-37.7218,144.8863,Western Metropolitan,3464
16,Airport West,174 Parer Rd,2,h,675000,S,Barry,16/7/16,13.5,3042,2,1,1,612,100,1975,Moonee Valley,-37.7187,144.8765,Western Metropolitan,3464
17,Airport West,106 Parer Rd,3,h,790000,S,Nelson,18/3/17,13.5,3042,3,1,3,614,,,Moonee Valley,-37.7194,144.8827,Western Metropolitan,3464
18,Albert Park,105 Kerferd Rd,2,h,1275000,S,hockingstuart,3/9/16,3.3,3206,2,1,0,120,82,1900,Port Phillip,-37.8459,144.9555,Southern Metropolitan,3280
19,Albert Park,1 Moubray St,3,h,1800000,VB,Greg,7/11/16,3.3,3206,3,2,1,132,159,1996,Port Phillip,-37.8415,144.952,Southern Metropolitan,3280
20,Albert Park,24 Kerferd Pl,3,h,1800000,S,Marshall,10/9/16,3.3,3206,3,2,1,90,122,1900,Port Phillip,-37.8421,144.9571,Southern Metropolitan,3280
21,Albert Park,4a Gatehouse La,3,h,1370000,S,Greg,12/6/16,3.3,3206,3,2,2,0,85,2000,Port Phillip,-37.8451,144.9511,Southern Metropolitan,3280
22,Albert Park,13/52 Moubray St,1,u,442500,S,Marshall,25/2/17,3.3,3206,1,1,0,0,34,1970,Port Phillip,-37.8421,144.9517,Southern Metropolitan,3280
23,Albert Park,2b Dundas Pl,3,h,1532000,S,Chisholm,26/7/16,3.3,3206,3,3,1,0,,,Port Phillip,-37.8415,144.9585,Southern Metropolitan,3280
24,Albert Park,22 Greig St,3,h,3755000,S,Greg,26/7/16,3.3,3206,3,2,2,325,,,Port Phillip,-37.8413,144.95,Southern Metropolitan,3280
25,Albert Park,227a Danks St,3,h,2030000,S,hockingstuart,28/8/16,3.3,3206,3,2,0,152,,,Port Phillip,-37.8488,144.9551,Southern Metropolitan,3280
26,Alphington,6 Naroon Rd,3,h,1485000,SP,McGrath,28/8/16,6.4,3078,3,0,0,597,,,Darebin,-37.7781,145.0284,Northern Metropolitan,2211
27,Alphington,42 Shiers St,4,h,1950000,S,Jellis,30/7/16,6.4,3078,4,2,3,589,210,1920,Darebin,-37.7719,145.0309,Northern Metropolitan,2211
28,Altona,4 Blyth St,3,h,1120000,S,Barlow,4/3/17,13.8,3018,3,1,2,506,120,1930,Hobsons Bay,-37.8693,144.8375,Western Metropolitan,5301
29,Altona,20 Linnet St,4,h,780000,PI,Sweeney,4/6/16,13.8,3018,4,1,4,655,,,Hobsons Bay,-37.868,144.8154,Western Metropolitan,5301
30,Altona,1/170 Blyth St,3,u,630000,S,Barlow,6/8/16,13.8,3018,2,1,2,311,94,1955,Hobsons Bay,-37.8702,144.8143,Western Metropolitan,5301
31,Altona,1/136 Queen St,2,u,580000,S,Barlow,8/10/16,13.8,3018,2,1,1,225,93,1988,Hobsons Bay,-37.8696,144.827,Western Metropolitan,5301
32,Altona,4/31 Millers Rd,2,u,391000,SP,Greg,11/2/17,13.8,3018,2,1,1,0,65,1965,Hobsons Bay,-37.8678,144.8384,Western Metropolitan,5301
33,Altona,4/57 Blyth St,3,u,730000,SP,Barlow,13/8/16,13.8,3018,3,2,1,69,141,2014,Hobsons Bay,-37.868,144.8286,Western Metropolitan,5301
34,Altona,164 Maidstone St,3,h,635000,S,Sweeney,14/5/16,13.8,3018,3,1,4,625,,1960,Hobsons Bay,-37.8611,144.8114,Western Metropolitan,5301
35,Altona North,1/5 Little St,3,h,720000,VB,Greg,6/8/16,11.1,3025,3,2,1,0,130,2012,Hobsons Bay,-37.8379,144.8583,Western Metropolitan,5132
36,Altona North,21 Hatherley Gr,3,h,700000,VB,Jas,10/12/16,11.1,3025,3,1,3,554,,,Hobsons Bay,-37.8449,144.85,Western Metropolitan,5132
37,Altona North,1/256 Mason St,2,t,640000,S,Williams,11/3/17,11.1,3025,2,1,1,252,,1965,Hobsons Bay,-37.8397,144.8602,Western Metropolitan,5132
38,Altona North,2/36 May St,3,h,675000,S,hockingstuart,14/5/16,11.1,3025,3,2,2,171,109,2012,Hobsons Bay,-37.8337,144.8554,Western Metropolitan,5132
39,Altona North,21 Neal Ct,3,h,770000,SP,hockingstuart,19/11/16,11.1,3025,3,1,3,602,603,,Hobsons Bay,-37.8327,144.8451,Western Metropolitan,5132
40,Altona North,155 Chambers Rd,4,h,760000,S,Hunter,27/6/16,11.1,3025,4,1,3,668,,,Hobsons Bay,-37.8262,144.8439,Western Metropolitan,5132
41,Altona North,268d Mason St,4,t,847500,S,RT,27/6/16,11.1,3025,4,3,1,252,,,Hobsons Bay,-37.8393,144.8568,Western Metropolitan,5132
42,Armadale,1/42 Adelaide St,2,u,550000,VB,Noel,3/12/16,6.3,3143,2,1,0,861,,,Stonnington,-37.8539,145.0284,Southern Metropolitan,4836
43,Armadale,14/71 Denbigh Rd,3,u,995000,S,Marshall,3/12/16,6.3,3143,3,2,2,0,100,1998,Stonnington,-37.8552,145.016,Southern Metropolitan,4836
44,Armadale,4/769 High St,3,t,1205000,S,Jellis,3/12/16,6.3,3143,3,2,2,101,105,2000,Stonnington,-37.854,145.0135,Southern Metropolitan,4836
45,Armadale,3/16 Fulton St,2,u,678000,S,hockingstuart,4/3/17,6.3,3143,2,1,2,0,,,Stonnington,-37.8538,145.0127,Southern Metropolitan,4836
46,Armadale,553 Dandenong Rd,5,h,1525000,PI,Jellis,7/5/16,6.3,3143,8,2,2,693,,,Stonnington,-37.8638,145.0229,Southern Metropolitan,4836
47,Armadale,40 New St,2,h,1210000,S,Marshall,12/11/16,6.3,3143,2,1,0,249,96,1910,Stonnington,-37.8543,145.016,Southern Metropolitan,4836
48,Armadale,367 Dandenong Rd,6,h,5525000,S,Marshall,17/9/16,6.3,3143,5,3,4,1491,516,1935,Stonnington,-37.8602,145.013,Southern Metropolitan,4836
49,Armadale,6/51 Armadale St,2,u,704000,SP,Greg,19/11/16,6.3,3143,2,1,1,0,74,1969,Stonnington,-37.8573,145.0186,Southern Metropolitan,4836
50,Armadale,10/51 Armadale St,2,u,710000,S,Jellis,25/2/17,6.3,3143,2,1,1,2471,80,1970,Stonnington,-37.8573,145.0186,Southern Metropolitan,4836
51,Armadale,44 Denbigh Rd,4,h,3625000,S,Jellis,27/11/16,6.3,3143,4,1,2,709,251,1900,Stonnington,-37.8574,145.016,Southern Metropolitan,4836
52,Armadale,17 Kooyong Rd,4,h,2000000,PI,Marshall,28/5/16,6.3,3143,4,3,4,544,,,Stonnington,-37.8611,145.0195,Southern Metropolitan,4836
53,Armadale,5/555 Orrong Rd,1,u,567000,S,hockingstuart,28/8/16,6.3,3143,1,1,1,0,53,2013,Stonnington,-37.8549,145.0113,Southern Metropolitan,4836
54,Ascot Vale,9/5 Rothwell St,2,u,467000,SP,Brad,3/12/16,5.9,3032,2,1,1,0,62,1980,Moonee Valley,-37.7761,144.9201,Western Metropolitan,6567
55,Ascot Vale,7 Francis St,3,h,1380000,SP,Nelson,4/3/17,5.9,3032,3,2,2,277,174,1910,Moonee Valley,-37.7777,144.9221,Western Metropolitan,6567
56,Ascot Vale,44 The Parade,4,h,1850000,S,Brad,4/3/17,5.9,3032,4,3,1,478,270,1900,Moonee Valley,-37.7729,144.9179,Western Metropolitan,6567
57,Ascot Vale,98 Epsom Rd,3,h,971000,SP,Nelson,4/6/16,5.9,3032,3,2,2,285,128,1900,Moonee Valley,-37.775,144.9091,Western Metropolitan,6567
58,Ascot Vale,120 Epsom Rd,3,h,970000,S,Brad,7/5/16,5.9,3032,3,1,2,350,125,1904,Moonee Valley,-37.7759,144.91,Western Metropolitan,6567
59,Ascot Vale,70 Munro St,3,h,955000,S,Brad,14/5/16,5.9,3032,3,1,1,263,117,1910,Moonee Valley,-37.7753,144.9116,Western Metropolitan,6567
60,Ascot Vale,33 Hockey La,3,h,1255000,S,Nelson,15/10/16,5.9,3032,3,2,2,308,,,Moonee Valley,-37.7759,144.9338,Western Metropolitan,6567
61,Ascot Vale,3/28 Ormond Rd,2,u,432000,S,Biggin,15/10/16,5.9,3032,2,1,1,0,62,1978,Moonee Valley,-37.773,144.9303,Western Metropolitan,6567
62,Ascot Vale,26 Ayr St,6,h,1430000,S,Nelson,16/4/16,5.9,3032,4,2,1,461,286,1900,Moonee Valley,-37.78,144.9295,Western Metropolitan,6567
63,Ascot Vale,15 Bayview Tce,2,h,1150000,S,Brad,18/3/17,5.9,3032,2,1,1,387,,,Moonee Valley,-37.7734,144.9191,Western Metropolitan,6567
64,Ascot Vale,3/8 Walter St,2,t,865000,SP,Nelson,18/3/17,5.9,3032,2,2,1,146,132,2015,Moonee Valley,-37.7713,144.9038,Western Metropolitan,6567
65,Ascot Vale,107/8 Burrowes St,2,u,540000,S,Jellis,19/11/16,5.9,3032,2,2,1,0,,,Moonee Valley,-37.7786,144.9141,Western Metropolitan,6567
66,Ascot Vale,1/60 The Parade,2,u,690000,S,Brad,22/5/16,5.9,3032,2,1,1,0,,,Moonee Valley,-37.7728,144.9169,Western Metropolitan,6567
67,Ascot Vale,18/54 Epsom Rd,2,u,390000,PI,Jellis,25/2/17,5.9,3032,2,1,1,1957,69,2012,Moonee Valley,-37.7731,144.9074,Western Metropolitan,6567
68,Ascot Vale,44 Walter St,3,h,1381500,S,Barry,25/2/17,5.9,3032,3,2,2,416,168,1900,Moonee Valley,-37.7727,144.9055,Western Metropolitan,6567
69,Ascot Vale,73 Kent St,2,h,760000,PI,Nelson,27/6/16,5.9,3032,2,1,1,124,77,1900,Moonee Valley,-37.7807,144.9285,Western Metropolitan,6567
70,Ascot Vale,9/129 The Parade,3,u,487500,S,Hodges,27/6/16,5.9,3032,3,1,3,0,,1972,Moonee Valley,-37.7723,144.9094,Western Metropolitan,6567
71,Ascot Vale,43 Mirams St,3,h,1060000,PI,Nelson,27/11/16,5.9,3032,3,1,1,555,,,Moonee Valley,-37.7767,144.9125,Western Metropolitan,6567
72,Ascot Vale,5 Doncaster St,4,h,1705000,S,Jellis,30/7/16,5.9,3032,4,2,4,598,273,2012,Moonee Valley,-37.7774,144.9104,Western Metropolitan,6567
73,Ashburton,3/39 Solway St,3,t,2050000,S,Fletchers,3/12/16,11,3147,3,3,4,310,315,2014,Boroondara,-37.874,145.0714,Southern Metropolitan,3052
74,Ashburton,3 Dunlop St,3,h,1555000,S,Jellis,4/6/16,11,3147,3,2,2,731,149,1935,Boroondara,-37.8666,145.0676,Southern Metropolitan,3052
75,Ashburton,16a Nicholas St,3,h,1100000,PI,Marshall,8/10/16,11,3147,3,3,2,276,178,2004,Boroondara,-37.8699,145.0778,Southern Metropolitan,3052
76,Ashburton,18 Glen Rd,3,h,1665000,S,Jellis,15/10/16,11,3147,3,2,3,702,145,1945,Boroondara,-37.8737,145.0695,Southern Metropolitan,3052
77,Ashburton,95 Nicholas St,2,h,1445000,S,Jellis,16/4/16,11,3147,2,1,2,704,,,Boroondara,-37.8745,145.0738,Southern Metropolitan,3052
78,Ashburton,14 Lucerne St,3,h,1415000,S,Buxton,27/6/16,11,3147,3,1,1,605,111,1950,Boroondara,-37.8703,145.0774,Southern Metropolitan,3052
79,Ashburton,1/65 Ashburn Gr,4,t,1250000,VB,Noel,27/11/16,11,3147,4,2,2,321,199,2007,Boroondara,-37.8693,145.08,Southern Metropolitan,3052
80,Ashburton,9 Ward St,3,h,1600000,S,Fletchers,28/5/16,11,3147,3,1,2,637,,,Boroondara,-37.8645,145.0797,Southern Metropolitan,3052
81,Ashburton,19 Poulter St,3,h,1650000,S,Marshall,28/8/16,11,3147,3,1,1,697,164,1947,Boroondara,-37.8636,145.0903,Southern Metropolitan,3052
82,Ashwood,28 Raymond St,3,h,1250000,S,Woodards,3/12/16,12.2,3147,3,1,1,842,,,Monash,-37.867,145.1092,Southern Metropolitan,2894
83,Ashwood,8 Rocklands Rd,3,h,1120000,S,Tim,7/5/16,12.2,3147,3,1,2,723,,,Monash,-37.8642,145.1109,Southern Metropolitan,2894
84,Ashwood,10 Maroondah Rd,4,h,1270000,SP,Buxton,8/10/16,12.2,3147,4,2,1,724,,,Monash,-37.8651,145.1109,Southern Metropolitan,2894
85,Ashwood,8 Maroondah Rd,4,h,1415000,S,Buxton,13/8/16,12.2,3147,4,3,2,724,,,Monash,-37.8651,145.1107,Southern Metropolitan,2894
86,Ashwood,3 Harold St,4,h,1500000,S,Buxton,15/10/16,12.2,3147,4,2,1,593,255,1930,Monash,-37.8655,145.096,Southern Metropolitan,2894
87,Ashwood,4/24 Mulgrave St,2,u,535000,S,Woodards,18/6/16,12.2,3147,2,1,1,72,,,Monash,-37.8702,145.1042,Southern Metropolitan,2894
88,Ashwood,2/6 Murra Ct,2,u,700000,S,hockingstuart,22/8/16,12.2,3147,2,1,2,192,88,2007,Monash,-37.8709,145.102,Southern Metropolitan,2894
89,Ashwood,12 Leonard St,4,h,1350000,S,Buxton,24/9/16,12.2,3147,4,2,1,727,,,Monash,-37.8669,145.1106,Southern Metropolitan,2894
90,Ashwood,4 Teck St,2,h,1110000,S,Fletchers,24/9/16,12.2,3147,2,1,1,586,86,1950,Monash,-37.8683,145.1082,Southern Metropolitan,2894
91,Avondale Heights,8 Norma Ct,3,h,850000,S,Moonee,3/9/16,10.5,3034,3,1,1,593,118,1970,Moonee Valley,-37.7677,144.8674,Western Metropolitan,4502
92,Avondale Heights,105 Canning St,3,h,848000,S,Nelson,4/3/17,10.5,3034,3,1,2,542,,,Moonee Valley,-37.7706,144.8629,Western Metropolitan,4502
93,Avondale Heights,22 Warrick Ct,4,h,1600000,PI,Nelson,10/12/16,10.5,3034,4,3,3,1801,,,Moonee Valley,-37.7532,144.8766,Western Metropolitan,4502
94,Avondale Heights,11 South Tce,3,h,850000,SP,Moonee,25/2/17,10.5,3034,3,2,8,585,,,Moonee Valley,-37.751,144.8571,Western Metropolitan,4502
95,Avondale Heights,61 Doyle St,3,h,635000,SP,Moonee,26/7/16,10.5,3034,3,1,1,597,,,Moonee Valley,-37.7568,144.8572,Western Metropolitan,4502
96,Avondale Heights,43 Skewes St,3,h,634000,S,Nelson,28/5/16,10.5,3034,4,2,1,582,153,1950,Moonee Valley,-37.7584,144.8568,Western Metropolitan,4502
97,Avondale Heights,235 Military Rd,3,h,863000,S,Barry,28/8/16,10.5,3034,3,2,3,638,,,Moonee Valley,-37.7546,144.8585,Western Metropolitan,4502
98,Balaclava,7/72 Grosvenor St,2,u,410000,PI,hockingstuart,3/12/16,6.6,3183,2,1,2,0,61,1965,Port Phillip,-37.8731,144.9958,Southern Metropolitan,2952
99,Balaclava,1/17 Albion St,2,h,981000,S,Buxton,25/2/17,6.6,3183,2,1,0,159,84,1930,Port Phillip,-37.874,144.9933,Southern Metropolitan,2952
100,Balaclava,15/36 Brighton Rd,1,u,500000,SP,Biggin,27/11/16,6.6,3183,1,1,0,0,,,Port Phillip,-37.873,144.9907,Southern Metropolitan,2952
101,Balwyn,36 Narrak Rd,4,h,1800000,VB,Marshall,3/9/16,9.7,3103,4,2,2,715,218,1985,Boroondara,-37.811,145.0958,Southern Metropolitan,5682
102,Balwyn,4 Melba Ct,5,h,3250000,PI,hockingstuart,3/12/16,9.7,3103,5,5,2,651,410,,Boroondara,-37.8071,145.0908,Southern Metropolitan,5682
103,Balwyn,349 Union Rd,6,h,4000000,VB,Jellis,3/12/16,9.7,3103,6,4,7,2051,449,1935,Boroondara,-37.8051,145.1016,Southern Metropolitan,5682
104,Balwyn,3/10 Westminster St,2,h,1215000,S,Jellis,3/12/16,9.7,3103,2,2,2,0,,,Boroondara,-37.8134,145.0972,Southern Metropolitan,5682
105,Balwyn,142 Balwyn Rd,2,h,1850000,VB,Fletchers,6/8/16,9.7,3103,3,1,1,1015,166,1930,Boroondara,-37.8074,145.0826,Southern Metropolitan,5682
106,Balwyn,4/3 King St,3,h,700000,VB,Marshall,7/5/16,9.7,3103,3,1,1,188,110,1970,Boroondara,-37.8065,145.065,Southern Metropolitan,5682
107,Balwyn,3 Westminster St,3,h,2125000,SP,Jellis,7/5/16,9.7,3103,3,2,2,699,252,1985,Boroondara,-37.814,145.0966,Southern Metropolitan,5682
108,Balwyn,1/252 Union Rd,2,u,526000,S,hockingstuart,10/9/16,9.7,3103,2,1,1,0,73,1960,Boroondara,-37.8144,145.0993,Southern Metropolitan,5682
109,Balwyn,9/204 Whitehorse Rd,1,h,390000,VB,Jellis,10/9/16,9.7,3103,1,1,1,740,,,Boroondara,-37.8125,145.0775,Southern Metropolitan,5682
110,Balwyn,7 Power St,5,h,2020000,S,Marshall,16/4/16,9.7,3103,5,2,2,611,,,Boroondara,-37.8116,145.0789,Southern Metropolitan,5682
111,Balwyn,150 Balwyn Rd,4,h,2250000,SA,Jellis,16/7/16,9.7,3103,3,1,2,832,,,Boroondara,-37.8068,145.0827,Southern Metropolitan,5682
112,Balwyn,53 Metung St,3,h,2120000,S,Jellis,17/9/16,9.7,3103,3,1,2,651,,,Boroondara,-37.8036,145.0715,Southern Metropolitan,5682
113,Balwyn,1 Knutsford St,4,h,2900000,VB,Marshall,22/5/16,9.7,3103,4,3,2,596,,,Boroondara,-37.815,145.076,Southern Metropolitan,5682
114,Balwyn,26 Wills St,4,h,2000000,PI,hockingstuart,27/6/16,9.7,3103,3,1,2,739,291,1930,Boroondara,-37.8039,145.0631,Southern Metropolitan,5682
115,Balwyn,12 Wills St,5,h,2450000,S,Marshall,28/5/16,9.7,3103,4,2,2,981,260,1960,Boroondara,-37.8058,145.0627,Southern Metropolitan,5682
116,Balwyn,33 Power St,4,h,1700000,VB,Marshall,30/7/16,9.7,3103,3,1,1,672,115,1935,Boroondara,-37.8099,145.0792,Southern Metropolitan,5682
117,Balwyn,5 Shrimpton Ct,2,h,1010000,PI,Marshall,30/7/16,9.7,3103,2,0,0,1611,,,Boroondara,-37.8092,145.1016,Southern Metropolitan,5682
118,Balwyn North,19 Jacka St,4,h,3230000,S,Jellis,3/9/16,9.2,3104,4,4,3,1135,275,1960,Boroondara,-37.8014,145.0892,Southern Metropolitan,7809
119,Balwyn North,25 Bolinda Rd,4,h,1905000,S,Noel,3/12/16,9.2,3104,4,2,2,647,185,1955,Boroondara,-37.7917,145.0868,Southern Metropolitan,7809
120,Balwyn North,30 Hood St,4,h,1900000,VB,Fletchers,3/12/16,9.2,3104,4,2,2,642,215,1955,Boroondara,-37.7988,145.0726,Southern Metropolitan,7809
121,Balwyn North,13 Riverview Rd,4,h,2205000,PI,RW,3/12/16,9.2,3104,4,2,2,750,214,1950,Boroondara,-37.7906,145.0788,Southern Metropolitan,7809
122,Balwyn North,14 Kawarren St,4,h,1750000,S,Kay,4/3/17,9.2,3104,4,2,2,673,185,1960,Boroondara,-37.7856,145.0918,Southern Metropolitan,7809
123,Balwyn North,88 Longview Rd,3,h,1450000,VB,Jellis,4/3/17,9.2,3104,3,1,2,665,124,1950,Boroondara,-37.7862,145.0781,Southern Metropolitan,7809
124,Balwyn North,45 Cityview Rd,4,h,1750000,PI,Ray,6/8/16,9.2,3104,4,3,3,667,,,Boroondara,-37.7898,145.079,Southern Metropolitan,7809
125,Balwyn North,30 Clifton St,4,h,1572000,S,hockingstuart,7/5/16,9.2,3104,4,2,2,662,330,1965,Boroondara,-37.798,145.1007,Southern Metropolitan,7809
126,Balwyn North,41 Helston St,4,h,1800000,VB,Fletchers/One,10/12/16,9.2,3104,4,2,4,587,165,1960,Boroondara,-37.7841,145.0953,Southern Metropolitan,7809
127,Balwyn North,15 Moody St,4,h,2910000,S,Marshall,10/12/16,9.2,3104,4,3,2,1070,247,1992,Boroondara,-37.7975,145.0716,Southern Metropolitan,7809
128,Balwyn North,13 Lucifer St,4,h,1670000,SP,Marshall,11/3/17,9.2,3104,4,3,2,689,,,Boroondara,-37.7871,145.0843,Southern Metropolitan,7809
129,Balwyn North,5 Lemon Rd,5,h,2070000,SP,Jellis,12/11/16,9.2,3104,5,2,1,1138,,,Boroondara,-37.7928,145.1006,Southern Metropolitan,7809
130,Balwyn North,56a Clifton St,3,h,1230000,S,Noel,14/5/16,9.2,3104,3,3,1,310,188,2012,Boroondara,-37.7949,145.1014,Southern Metropolitan,7809
131,Balwyn North,45 Woodville St,4,h,1712000,S,Fletchers,17/9/16,9.2,3104,3,2,2,639,,,Boroondara,-37.7879,145.0929,Southern Metropolitan,7809
132,Balwyn North,9 Seattle St,4,h,1675000,S,Fletchers,18/3/17,9.2,3104,4,2,2,667,201,1974,Boroondara,-37.7835,145.0883,Southern Metropolitan,7809
133,Balwyn North,3 Capella St,2,h,1389000,S,Jellis,22/5/16,9.2,3104,2,1,4,701,,,Boroondara,-37.7867,145.0718,Southern Metropolitan,7809
134,Balwyn North,85a Woodville St,3,h,1335000,S,Fletchers,22/5/16,9.2,3104,3,2,2,368,177,2009,Boroondara,-37.7846,145.0935,Southern Metropolitan,7809
135,Balwyn North,66 Almond St,3,h,1520000,S,Jellis,25/2/17,9.2,3104,3,1,2,622,,,Boroondara,-37.7882,145.0882,Southern Metropolitan,7809
136,Balwyn North,19 Hedderwick St,4,h,1250000,VB,Marshall,25/2/17,9.2,3104,4,2,2,644,153,1950,Boroondara,-37.7997,145.0993,Southern Metropolitan,7809
137,Balwyn North,16 Nevada St,4,h,1700000,VB,Jellis,27/6/16,9.2,3104,3,2,5,754,175,1960,Boroondara,-37.786,145.0886,Southern Metropolitan,7809
138,Balwyn North,123 Winfield Rd,5,h,1560000,S,RT,27/11/16,9.2,3104,5,2,3,845,199,1980,Boroondara,-37.7898,145.1021,Southern Metropolitan,7809
139,Balwyn North,1 Tovey St,5,h,1836000,S,Jellis,30/7/16,9.2,3104,4,2,2,939,,1957,Boroondara,-37.7998,145.0862,Southern Metropolitan,7809
140,Bentleigh,22 Hobart St,2,h,1275000,S,Woodards,3/9/16,13,3204,2,1,2,599,,,Glen Eira,-37.925,145.046,Southern Metropolitan,6795
141,Bentleigh,2/531 South Rd,3,t,895000,PI,Ray,3/9/16,13,3204,3,2,2,362,,1997,Glen Eira,-37.9336,145.043,Southern Metropolitan,6795
142,Bentleigh,7 Marquis Rd,4,h,1420000,S,Woodards,3/12/16,13,3204,4,1,4,786,,,Glen Eira,-37.9305,145.0449,Southern Metropolitan,6795
143,Bentleigh,15 Miles St,3,h,1100000,VB,Buxton,4/6/16,13,3204,3,2,2,0,,,Glen Eira,-37.922,145.0302,Southern Metropolitan,6795
144,Bentleigh,13 Somers St,3,h,1317500,S,Buxton,4/6/16,13,3204,3,1,1,576,127,1945,Glen Eira,-37.9149,145.0254,Southern Metropolitan,6795
145,Bentleigh,39 Luckins Rd,4,h,1300000,PI,Buxton,7/11/16,13,3204,4,2,2,697,194,1940,Glen Eira,-37.9318,145.0474,Southern Metropolitan,6795
146,Bentleigh,1/19 Patterson Rd,2,h,855000,S,Buxton,7/11/16,13,3204,2,1,1,298,,,Glen Eira,-37.9247,145.0287,Southern Metropolitan,6795
147,Bentleigh,575 South Rd,3,h,867000,S,hockingstuart,8/10/16,13,3204,3,2,1,578,,,Glen Eira,-37.9344,145.0481,Southern Metropolitan,6795
148,Bentleigh,1/26 Harding St,3,t,1100000,SP,Buxton,10/12/16,13,3204,3,2,2,333,,,Glen Eira,-37.9292,145.0341,Southern Metropolitan,6795
149,Bentleigh,11 Somers St,4,h,1450000,S,hockingstuart,12/11/16,13,3204,4,1,1,567,,,Glen Eira,-37.9149,145.0252,Southern Metropolitan,6795
150,Bentleigh,38 Leckie St,3,h,1390000,S,Buxton,15/10/16,13,3204,3,1,2,723,,1925,Glen Eira,-37.9203,145.048,Southern Metropolitan,6795
151,Bentleigh,15 Luckins Rd,3,h,1400000,SP,Buxton,15/10/16,13,3204,3,2,1,699,,,Glen Eira,-37.9316,145.0454,Southern Metropolitan,6795
152,Bentleigh,33 Luckins Rd,3,h,1328000,S,Woodards,15/10/16,13,3204,3,2,2,690,245,1970,Glen Eira,-37.9317,145.0469,Southern Metropolitan,6795
153,Bentleigh,4 Daley St,3,h,1370000,S,hockingstuart,16/7/16,13,3204,3,1,2,624,143,1950,Glen Eira,-37.9256,145.0374,Southern Metropolitan,6795
154,Bentleigh,1/96 Tucker Rd,2,u,797500,S,Ray,17/9/16,13,3204,2,1,2,321,,,Glen Eira,-37.9257,145.0501,Southern Metropolitan,6795
155,Bentleigh,3/18 Bleazby St,2,u,725000,S,hockingstuart,18/3/17,13,3204,2,1,1,677,88,2012,Glen Eira,-37.9173,145.0359,Southern Metropolitan,6795
156,Bentleigh,43 Godfrey St,5,h,1900000,S,Woodards,25/2/17,13,3204,5,2,2,567,250,1926,Glen Eira,-37.9144,145.0401,Southern Metropolitan,6795
157,Bentleigh East,2a Bessie St,2,u,746000,S,hockingstuart,3/12/16,13.9,3165,2,1,2,281,95,2002,Glen Eira,-37.9255,145.0796,Southern Metropolitan,10969
158,Bentleigh East,93 Parkmore Rd,3,h,1206000,S,C21,3/12/16,13.9,3165,3,1,2,603,,,Glen Eira,-37.9155,145.0723,Southern Metropolitan,10969
